"est_ground_truth_c0","est_ground_truth_CI_lower_c0","est_ground_truth_CI_upper_c0","naive_h1_est_c0","naive_h1_CI_lower_c0","naive_h1_CI_upper_c0","naive_h2_est_c0","naive_h2_CI_lower_c0","naive_h2_CI_upper_c0","est_wald_c0","wald_CI_lower_c0","wald_CI_upper_c0","est_EIF_gam_c0","EIF_gam_CI_lower_c0","EIF_gam_CI_upper_c0","est_ground_truth_c0.25","est_ground_truth_CI_lower_c0.25","est_ground_truth_CI_upper_c0.25","naive_h1_est_c0.25","naive_h1_CI_lower_c0.25","naive_h1_CI_upper_c0.25","naive_h2_est_c0.25","naive_h2_CI_lower_c0.25","naive_h2_CI_upper_c0.25","est_wald_c0.25","wald_CI_lower_c0.25","wald_CI_upper_c0.25","est_EIF_gam_c0.25","EIF_gam_CI_lower_c0.25","EIF_gam_CI_upper_c0.25","est_ground_truth_c0.5","est_ground_truth_CI_lower_c0.5","est_ground_truth_CI_upper_c0.5","naive_h1_est_c0.5","naive_h1_CI_lower_c0.5","naive_h1_CI_upper_c0.5","naive_h2_est_c0.5","naive_h2_CI_lower_c0.5","naive_h2_CI_upper_c0.5","est_wald_c0.5","wald_CI_lower_c0.5","wald_CI_upper_c0.5","est_EIF_gam_c0.5","EIF_gam_CI_lower_c0.5","EIF_gam_CI_upper_c0.5"
0.162107396149949,0.138114784671427,0.186100007628472,0.117771738798398,0.0879133713052382,0.148278293342614,0.273012325777925,0.245004849515893,0.301690176464856,0.140770966793101,0.101255154068677,0.182604391169514,0.138450972340621,0.100439157699471,0.176462786981771,0.165496489468405,0.141428531137453,0.189564447799358,0.132965842539335,0.100474426610933,0.167947903947986,0.314387981824175,0.282347042674539,0.346356892261898,0.162785928511274,0.117944331295179,0.205842359609994,0.158180294726536,0.116150745561435,0.200209843891636,0.192622950819672,0.166881479957719,0.218364421681625,0.133034161287083,0.0998643215302184,0.167166136147347,0.346951338465936,0.315739418217739,0.376451490469754,0.199959996057392,0.153373686301222,0.249011510205335,0.165917676602887,0.12182065349753,0.210014699708244
0.172901921132457,0.148333494527974,0.19747034773694,0.140472086563425,0.108575018672008,0.169368367139003,0.288903956218149,0.262034916492198,0.314958836802867,0.189103568157747,0.147295225477453,0.230469638035975,0.180626720971138,0.136993074860887,0.224260367081389,0.167497507477567,0.143387784514682,0.191607230440453,0.139285585865098,0.106805073372298,0.172179439863625,0.328183439546956,0.299758514139124,0.358902163881137,0.181623506146091,0.138591965678018,0.225245023926208,0.178967124055177,0.137615310417611,0.220318937692742,0.215031315240084,0.188013438260495,0.242049192219672,0.178749667598503,0.146361373696939,0.212227714616396,0.338443929643997,0.306374201163972,0.368182968431558,0.229342100957328,0.182702848201959,0.275327238073319,0.221260104764263,0.177450954762065,0.265069254766461
0.172346640701071,0.148247158872122,0.19644612253002,0.11901231400099,0.0870985305595587,0.151105884542055,0.28212172422575,0.252880840121089,0.311986844060832,0.154445948033815,0.116749883017617,0.194739885226567,0.152425434238273,0.111502900425345,0.193347968051202,0.162626262626263,0.138638992892368,0.186613532360157,0.128987406685291,0.100135989878556,0.159435179273395,0.301308006978699,0.273085222793447,0.329673506958722,0.16568565714391,0.122836499513427,0.207591577049332,0.154759770516826,0.11440096721501,0.195118573818642,0.18935516888434,0.163787493964672,0.214922843804007,0.139947033529804,0.106185065116078,0.174062265425196,0.380695763998685,0.351014856533001,0.412345707179241,0.213911789829548,0.165796118614027,0.263025201530767,0.174045660696267,0.126662502892384,0.221428818500151
0.175369458128079,0.150974302661559,0.199764613594599,0.140750905034484,0.106680687622033,0.173291536503145,0.295548381966303,0.267345811340375,0.324117715955765,0.166087294403531,0.12735451735411,0.203170387594121,-0.0348290672849949,-0.333624598825121,0.263966464255131,0.193203883495146,0.168091756115254,0.218316010875037,0.134812388935705,0.103859867205725,0.168917204083039,0.307535858345197,0.27839637815145,0.336931522370548,0.179275178905452,0.135312562839343,0.222936706845093,0.170767997626585,0.127914309343277,0.213621685909894,0.17332035053554,0.149169339736501,0.19747136133458,0.14101795185006,0.103527158311725,0.176267763137667,0.299376073788973,0.270284784639183,0.328801320423472,0.177518137972187,0.135069972720009,0.222593392568331,0.17561469729116,0.128676850003632,0.222552544578688
0.161779575328615,0.137829019910769,0.185730130746461,0.144935779834613,0.113492351978585,0.176305659445219,0.276950927450241,0.248441022120698,0.305877786324928,0.179138074523779,0.137980288874121,0.219161384052329,0.175974973483398,0.108174491343654,0.243775455623142,0.179226069246436,0.154237155562982,0.20421498292989,0.120706516860137,0.0897384225780185,0.153303940000145,0.304452777659359,0.2731368487664,0.335036744730514,0.163430430924152,0.118806983077852,0.210325869379709,0.141920660210145,0.100493394535044,0.183347925885246,0.194871794871795,0.169008211481719,0.220735378261871,0.130949102074045,0.0961179056146863,0.167592138627552,0.336944018864726,0.303952682276471,0.365476961745674,0.171510561264172,0.130531921448462,0.217205284878222,0.157991488170908,0.111681327844095,0.20430164849772
0.167473378509197,0.143701928896093,0.1912448281223,0.122886665364036,0.0903709815603572,0.153549607671315,0.26231176797495,0.234184365839236,0.291311826173357,0.146496708432861,0.105121055309872,0.188357007856482,0.156399759777883,0.115630057679147,0.19716946187662,0.153924566768603,0.130341701432607,0.1775074321046,0.13525093409351,0.102776259867028,0.169058926236071,0.284099530017239,0.255847403722865,0.311359691209358,0.18004694765087,0.139960591440763,0.221666082476556,0.162802180390227,0.121845223418303,0.203759137362151,0.191321499013807,0.166111071059293,0.21653192696832,0.115524733236971,0.0807749803978317,0.149329023228886,0.323228944058026,0.291798479241576,0.350368613178928,0.147447596349989,0.102794654956099,0.192663361733131,0.132632016472021,0.0881474999134816,0.17711653303056
0.158859470468432,0.134996148162224,0.182722792774639,0.113433120329362,0.0821230411923478,0.141606304615432,0.2808981152253,0.250883807690515,0.310847055840923,0.136150028387967,0.101661282387767,0.17576688459341,0.135408935684045,0.0985796507053442,0.172238220662745,0.174174174174174,0.149656115173502,0.198692233174847,0.11462561192551,0.0810091678339312,0.149276137240981,0.311355158611692,0.283875346604092,0.340079154776027,0.15249634282589,0.11037912794485,0.193397068194224,0.141346747034366,0.0998677105100927,0.182825783558639,0.1875,0.162776810338116,0.212223189661884,0.185537698629645,0.149810986087202,0.221330681123286,0.365153371964492,0.334880621583884,0.394234359871022,0.242647659708058,0.192565862390913,0.293179009619532,0.227496267408061,0.179787664693605,0.275204870122517
0.171814671814672,0.147843315541363,0.19578602808798,0.14039347577973,0.108390982590325,0.173279818808559,0.285512159901739,0.257886775616566,0.315034355847805,0.168618646158089,0.131218348623725,0.211446613174676,0.177494567563392,0.136398447347939,0.218590687778846,0.147029204431017,0.12400281478969,0.170055594072344,0.154335401314582,0.118904876994292,0.187297247415551,0.311218628601235,0.279971402935836,0.339632371464704,0.203821993255826,0.162626515026757,0.250562302867998,0.190530731358532,0.147570436834099,0.233491025882965,0.197979797979798,0.172157880022126,0.22380171593747,0.147450211507527,0.113162353098266,0.177777663919546,0.32706632674662,0.294590103770506,0.359517684785438,0.210225220880245,0.162687379281381,0.25677197086428,0.189015145047084,0.143042956471451,0.234987333622718
0.158434296365331,0.135580679391624,0.181287913339038,0.134403968519947,0.104744021313441,0.165861165556812,0.278109317421274,0.249472171137972,0.304625982448202,0.168362569042495,0.131011653516396,0.208565458510936,0.163770973121003,0.124915690643305,0.202626255598701,0.180376610505451,0.155651880796043,0.205101340214859,0.148046817840405,0.112453206551032,0.18433709616964,0.287469966945031,0.258483240527763,0.314806038442511,0.200237937628773,0.157759597264899,0.246296164342414,-0.308563786733743,-1.38710773610379,0.769980162636306,0.184661957618567,0.159503439521603,0.209820475715531,0.136030290446648,0.103704153328598,0.167054832161324,0.367900070305362,0.339223367876355,0.399225935331855,0.177712961611728,0.131484222933131,0.223663400324267,0.161130119306769,0.118787290063658,0.203472948549881
0.165834165834166,0.141793539782184,0.189874791886148,0.132361131594675,0.100010413895273,0.16526314261753,0.270283346731757,0.241341078064732,0.297369267432028,0.163134664767207,0.124731943487949,0.204082591352565,0.165662911985798,0.124133962922282,0.207191861049313,0.169306930693069,0.145178458577407,0.193435402808732,0.133289263089501,0.101079891216469,0.163258329596923,0.314989271363816,0.286865795835172,0.344807773656878,0.157960087207201,0.119361388369942,0.202734252222395,0.16261028912706,0.122676523574388,0.202544054679733,0.197845249755142,0.172408977524822,0.223281521985462,0.156364044092561,0.125136637044341,0.187647982879319,0.339743291278815,0.309844461520018,0.369825884483843,0.220081437391158,0.176074120417446,0.268844895367307,0.187398368013857,0.145086858577815,0.229709877449898
